Season,Player Name,Conference,Date,Team,Pos,Hight,Weight,Age,PreDraftTeam,DraftYear,YOS
2020-2021,Giannis Antetokounmpo,East,"Feb 8, 2021","
Milwaukee Bucks
",F,6-11,242,26,Filathlitikos Div II Greece (Greece),2013,7
2020-2021,De'Aaron Fox,West,"Feb 8, 2021","
Sacramento Kings
",PG,6-3,185,23,Kentucky,2017,3
2020-2021,James Harden,East,"Feb 1, 2021","
Brooklyn Nets
",SG,6-5,220,31,Arizona State,2009,11
2020-2021,Nikola Jokic,West,"Feb 1, 2021","
Denver Nuggets
",C,7-0,284,26,KK Mega Bemax (Serbia),2014,5
2020-2021,Joel Embiid,East,"Jan 25, 2021","
Philadelphia Sixers
",C,7-0,250,26,Kansas,2014,6
2020-2021,Nikola Jokic,West,"Jan 25, 2021","
Denver Nuggets
",C,7-0,284,26,KK Mega Bemax (Serbia),2014,5
2020-2021,Kevin Durant,East,"Jan 18, 2021","
Brooklyn Nets
",SF,6-10,240,32,Texas,2007,13
2020-2021,Damian Lillard,West,"Jan 18, 2021","
Portland Trail Blazers
",G,6-3,195,30,Weber State,2012,8
2020-2021,Jayson Tatum,East,"Jan 11, 2021","
Boston Celtics
",SF,6-8,210,22,Duke,2017,3
2020-2021,Luka Doncic,West,"Jan 11, 2021","
Dallas Mavericks
",SF,6-7,230,22,Real Madrid (Spain),2018,2
2020-2021,Tobias Harris,East,"Jan 4, 2021","
Philadelphia Sixers
",F,6-9,235,28,Tennessee,2011,9
2020-2021,Stephen Curry,West,"Jan 4, 2021","
Golden State Warriors
",G,6-3,190,32,Davidson,2009,11
2020-2021,Domantas Sabonis,East,"Dec 28, 2020","
Indiana Pacers
",PF,6-11,240,24,Gonzaga,2016,4
2020-2021,Brandon Ingram,West,"Dec 28, 2020","
New Orleans Pelicans
",SF,6-9,190,23,Duke,2016,4
2019-2020,Norman Powell,East,"Mar 9, 2020","
Toronto Raptors
",SG,6-4,215,26,UCLA,2015,4
2019-2020,LeBron James,West,"Mar 9, 2020","
Los Angeles Lakers
",F,6-8,250,35,St. Vincent St. Mary High School (Ohio),2003,16
2019-2020,Giannis Antetokounmpo,East,"Mar 2, 2020","
Milwaukee Bucks
",F,6-11,242,25,Filathlitikos Div II Greece (Greece),2013,6
2019-2020,Kristaps Porzingis,West,"Mar 2, 2020","
Dallas Mavericks
",FC,7-3,240,24,Coosur Real Betis (Spain),2015,4
2019-2020,Jayson Tatum,East,"Feb 10, 2020","
Boston Celtics
",SF,6-8,210,21,Duke,2017,2
2019-2020,Nikola Jokic,West,"Feb 10, 2020","
Denver Nuggets
",C,7-0,284,25,KK Mega Bemax (Serbia),2014,4
2019-2020,Jaylen Brown,East,"Feb 3, 2020","
Boston Celtics
",SF,6-6,223,23,California,2016,3
2019-2020,Damian Lillard,West,"Feb 3, 2020","
Portland Trail Blazers
",G,6-3,195,29,Weber State,2012,7
2019-2020,Pascal Siakam,East,"Jan 27, 2020","
Toronto Raptors
",F,6-9,230,25,New Mexico State,2016,3
2019-2020,Damian Lillard,West,"Jan 27, 2020","
Portland Trail Blazers
",G,6-3,195,29,Weber State,2012,7
2019-2020,Ben Simmons,East,"Jan 20, 2020","
Philadelphia Sixers
",PF,6-10,230,23,LSU,2016,3
2019-2020,Kawhi Leonard,West,"Jan 20, 2020","
Los Angeles Clippers
",F,6-7,230,28,San Diego State,2011,8
2019-2020,Josh Richardson,East,"Jan 13, 2020","
Philadelphia Sixers
",G,6-5,200,26,Tennessee,2015,4
2019-2020,DeMar DeRozan,West,"Jan 13, 2020","
San Antonio Spurs
",GF,6-7,220,30,USC,2009,10
2019-2020,Giannis Antetokounmpo,East,"Jan 6, 2020","
Milwaukee Bucks
",F,6-11,242,25,Filathlitikos Div II Greece (Greece),2013,6
2019-2020,LeBron James,West,"Jan 6, 2020","
Los Angeles Lakers
",F,6-8,250,35,St. Vincent St. Mary High School (Ohio),2003,16
2019-2020,Jaylen Brown,East,"Dec 30, 2019","
Boston Celtics
",SF,6-6,223,23,California,2016,3
2019-2020,Brandon Ingram,West,"Dec 30, 2019","
New Orleans Pelicans
",SF,6-9,190,22,Duke,2016,3
2019-2020,Kyle Lowry,East,"Dec 23, 2019","
Toronto Raptors
",PG,6-1,196,33,Villanova,2006,13
2019-2020,Dennis Schroder,West,"Dec 23, 2019","
Oklahoma City Thunder
",PG,6-1,172,26,Basketball Lowen Braunschweig (Germany),2013,6
2019-2020,Bam Adebayo,East,"Dec 16, 2019","
Miami Heat
",C,6-10,255,22,Kentucky,2017,2
2019-2020,LeBron James,West,"Dec 16, 2019","
Los Angeles Lakers
",F,6-8,250,35,St. Vincent St. Mary High School (Ohio),2003,16
2019-2020,Jimmy Butler,East,"Dec 9, 2019","
Miami Heat
",GF,6-8,232,30,Marquette,2011,8
2019-2020,Anthony Davis,West,"Dec 9, 2019","
Los Angeles Lakers
",PF,6-10,253,26,Kentucky,2012,7
2019-2020,Giannis Antetokounmpo,East,"Dec 2, 2019","
Milwaukee Bucks
",F,6-11,242,25,Filathlitikos Div II Greece (Greece),2013,6
2019-2020,Carmelo Anthony,West,"Dec 2, 2019","
Portland Trail Blazers
",F,6-8,240,35,Syracuse,2003,16
2019-2020,Spencer Dinwiddie,East,"Nov 25, 2019","
Brooklyn Nets
",PG,6-5,215,26,Colorado,2014,5
2019-2020,Luka Doncic,West,"Nov 25, 2019","
Dallas Mavericks
",SF,6-7,230,21,Real Madrid (Spain),2018,1
2019-2020,Nikola Vucevic,East,"Nov 18, 2019","
Orlando Magic
",PF,7-0,260,29,USC,2011,8
2019-2020,James Harden,West,"Nov 18, 2019","
Houston Rockets
",SG,6-5,220,30,Arizona State,2009,10
2019-2020,Pascal Siakam,East,"Nov 11, 2019","
Toronto Raptors
",F,6-9,230,25,New Mexico State,2016,3
2019-2020,James Harden,West,"Nov 11, 2019","
Houston Rockets
",SG,6-5,220,30,Arizona State,2009,10
2019-2020,Giannis Antetokounmpo,East,"Nov 4, 2019","
Milwaukee Bucks
",F,6-11,242,25,Filathlitikos Div II Greece (Greece),2013,6
2019-2020,Anthony Davis,West,"Nov 4, 2019","
Los Angeles Lakers
",PF,6-10,253,26,Kentucky,2012,7
2019-2020,Trae Young,East,"Oct 28, 2019","
Atlanta Hawks
",PG,6-1,180,21,Oklahoma,2018,1
2019-2020,Karl-Anthony Towns,West,"Oct 28, 2019","
Minnesota Timberwolves
",C,7-0,248,24,Kentucky,2015,4
2018-2019,Kemba Walker,East,"Apr 8, 2019","
Charlotte Hornets
",G,6-0,184,28,Connecticut,2011,7
2018-2019,Russell Westbrook,West,"Apr 8, 2019","
Oklahoma City Thunder
",G,6-3,200,30,UCLA,2008,10
2018-2019,Andre Drummond,East,"Apr 1, 2019","
Detroit Pistons
",C,6-11,279,25,Connecticut,2012,6
2018-2019,Damian Lillard,West,"Apr 1, 2019","
Portland Trail Blazers
",G,6-3,195,28,Weber State,2012,6
2018-2019,Trae Young,East,"Mar 25, 2019","
Atlanta Hawks
",PG,6-1,180,20,Oklahoma,2018,0
2018-2019,James Harden,West,"Mar 25, 2019","
Houston Rockets
",SG,6-5,220,29,Arizona State,2009,9
2018-2019,Bradley Beal,East,"Mar 18, 2019","
Washington Wizards
",SG,6-3,207,25,Florida,2012,6
2018-2019,Rudy Gobert,West,"Mar 18, 2019","
Utah Jazz
",C,7-1,245,26,Cholet Basket (France),2013,5
2018-2019,Andre Drummond,East,"Mar 11, 2019","
Detroit Pistons
",C,6-11,279,25,Connecticut,2012,6
2018-2019,Mike Conley,West,"Mar 11, 2019","
Memphis Grizzlies
",PG,6-1,175,31,Ohio State,2007,11
2018-2019,Ben Simmons,East,"Mar 4, 2019","
Philadelphia Sixers
",PF,6-10,230,22,LSU,2016,2
2018-2019,Donovan Mitchell,West,"Mar 4, 2019","
Utah Jazz
",SG,6-3,215,22,Louisville,2017,1
2018-2019,Bojan Bogdanovic,East,"Feb 11, 2019","
Indiana Pacers
",F,6-8,216,29,KK Cibona (Croatia),2011,4
2018-2019,Paul George,West,"Feb 11, 2019","
Oklahoma City Thunder
",GF,6-9,220,28,Fresno State,2010,8
2018-2019,Giannis Antetokounmpo,East,"Feb 4, 2019","
Milwaukee Bucks
",F,6-11,242,24,Filathlitikos Div II Greece (Greece),2013,5
2018-2019,Nikola Jokic,West,"Feb 4, 2019","
Denver Nuggets
",C,7-0,284,24,KK Mega Bemax (Serbia),2014,3
2018-2019,Giannis Antetokounmpo,East,"Jan 28, 2019","
Milwaukee Bucks
",F,6-11,242,24,Filathlitikos Div II Greece (Greece),2013,5
2018-2019,Paul George,West,"Jan 28, 2019","
Oklahoma City Thunder
",GF,6-9,220,28,Fresno State,2010,8
2018-2019,D'Angelo Russell,East,"Jan 21, 2019","
Brooklyn Nets
",SG,6-4,193,23,Ohio State,2015,3
2018-2019,James Harden,West,"Jan 21, 2019","
Houston Rockets
",SG,6-5,220,29,Arizona State,2009,9
2018-2019,Kawhi Leonard,East,"Jan 14, 2019","
Toronto Raptors
",F,6-7,230,27,San Diego State,2011,7
2018-2019,Donovan Mitchell,West,"Jan 14, 2019","
Utah Jazz
",SG,6-3,215,22,Louisville,2017,1
2018-2019,Joel Embiid,East,"Jan 7, 2019","
Philadelphia Sixers
",C,7-0,250,24,Kansas,2014,4
2018-2019,Nikola Jokic,West,"Jan 7, 2019","
Denver Nuggets
",C,7-0,284,24,KK Mega Bemax (Serbia),2014,3
2018-2019,Giannis Antetokounmpo,East,"Dec 31, 2018","
Milwaukee Bucks
",F,6-11,242,24,Filathlitikos Div II Greece (Greece),2013,5
2018-2019,James Harden,West,"Dec 31, 2018","
Houston Rockets
",SG,6-5,220,29,Arizona State,2009,9
2018-2019,Giannis Antetokounmpo,East,"Dec 24, 2018","
Milwaukee Bucks
",F,6-11,242,24,Filathlitikos Div II Greece (Greece),2013,5
2018-2019,Paul George,West,"Dec 24, 2018","
Oklahoma City Thunder
",GF,6-9,220,28,Fresno State,2010,8
2018-2019,Thaddeus Young,East,"Dec 17, 2018","
Indiana Pacers
",F,6-8,235,30,Georgia Tech,2007,11
2018-2019,James Harden,West,"Dec 17, 2018","
Houston Rockets
",SG,6-5,220,29,Arizona State,2009,9
2018-2019,Bradley Beal,East,"Dec 10, 2018","
Washington Wizards
",SG,6-3,207,25,Florida,2012,6
